clima,temperatura,bicicletas_alugadas
1,0.674254,6891
1,0.654042,6779
1,0.594704,7442
1,0.640792,7335
1,0.675512,6879
1,0.786613,5463
1,0.687508,5687
1,0.750629,5531
1,0.702038,6227
1,0.70265,6660
1,0.732337,7403
1,0.761367,6241
1,0.752533,6207
1,0.804913,4840
1,0.790396,4672
2,0.654054,6569
2,0.664796,6290
1,0.650271,7264
1,0.654683,7446
2,0.667933,7499
2,0.666042,6969
1,0.705196,6031
1,0.724125,6830
1,0.755683,6786
1,0.745583,5713
1,0.714642,6591
2,0.613025,5870
3,0.549912,4459
2,0.623125,7410
1,0.690017,6966
1,0.70645,7592
1,0.654054,8173
1,0.739263,6861
1,0.734217,6904
1,0.697604,6685
1,0.667933,6597
1,0.684987,7105
1,0.662896,7216
1,0.667308,7580
1,0.707088,7261
2,0.722867,7175
1,0.751267,6824
1,0.731079,5464
2,0.710246,7013
2,0.697621,7273
2,0.707717,7534
1,0.699508,7286
2,0.667942,5786
2,0.638267,6299
1,0.644579,6544
1,0.662254,6883
1,0.676779,6784
1,0.654037,7347
1,0.654688,7605
1,0.2424,7148
1,0.618071,7865
2,0.603554,4549
2,0.595967,6530
1,0.601025,7006
1,0.621854,7375
1,0.637008,7765
2,0.6471,7582
2,0.618696,6053
2,0.595996,5255
1,0.654688,6917
1,0.66605,7040
1,0.635733,7697
1,0.652779,7713
1,0.6894,7350
2,0.702654,6140
2,0.649,5810
1,0.661629,6034
1,0.686888,6864
1,0.708983,7112
2,0.655329,6203
1,0.657204,7504
2,0.611121,5976
1,0.578925,8227
1,0.565654,7525
1,0.554292,7767
1,0.570075,7870
1,0.579558,7804
1,0.594083,8009
1,0.585867,8714
1,0.563125,7333
2,0.55305,6869
2,0.565067,4073
1,0.540404,7591
1,0.532192,7720
1,0.571971,8167
1,0.610488,8395
1,0.518933,7907
1,0.502513,7436
1,0.544179,7538
1,0.5966130000000001,7733
2,0.607975,7393
2,0.585863,7415
1,0.530296,8555
1,0.517663,6889
2,0.512,6778
3,0.542333,4639
2,0.599133,7572
2,0.607975,7328
1,0.580187,8156
1,0.538521,7965
2,0.419813,3510
2,0.387608,5478
2,0.438112,6392
1,0.503142,7691
1,0.431167,7570
1,0.433071,7282
1,0.391396,7109
1,0.508204,6639
2,0.53915,5875
1,0.460846,7534
1,0.450108,7461
2,0.512625,7509
2,0.537896,5424
1,0.472842,8090
1,0.456429,6824
1,0.482942,7058
1,0.530304,7466
1,0.558721,7693
2,0.529688,7359
2,0.52275,7444
2,0.515133,7852
2,0.467771,4459
3,0.4394,22
2,0.309909,1096
2,0.3611,5566
2,0.369942,5986
1,0.356042,5847
2,0.323846,5138
1,0.329538,5107
1,0.308075,5259
1,0.281567,5686
2,0.274621,5035
1,0.341891,5315
1,0.35541300000000003,5992
1,0.393937,6536
1,0.421713,6852
1,0.475383,6269
2,0.323225,4094
1,0.281563,5495
2,0.324492,5445
1,0.347204,5698
1,0.326383,5629
1,0.337746,4669
2,0.375621,5499
2,0.38066700000000003,5634
1,0.364892,5146
1,0.350371,2425
1,0.378779,3910
1,0.24874200000000002,2277
1,0.257583,2424
1,0.33900399999999997,5087
2,0.281558,3959
1,0.28976199999999996,5260
1,0.29842199999999997,5323
1,0.323867,5668
2,0.316904,5191
2,0.35920799999999997,4649
1,0.455796,6234
1,0.46905399999999997,6606
1,0.428012,5729
1,0.258204,5375
2,0.32195799999999997,5008
2,0.38950799999999997,5582
2,0.390146,3228
2,0.435575,5170
2,0.338363,5501
2,0.297338,5319
1,0.294188,5532
1,0.294192,5611
1,0.338383,5047
2,0.369938,3786
2,0.4015,4585
1,0.409708,5557
1,0.34216199999999997,5267
2,0.335217,4128
2,0.301767,3623
1,0.23611300000000002,1749
1,0.259471,1787
2,0.2589,920
2,0.29446500000000003,1013
3,0.220333,441
2,0.226642,2114
2,0.255046,3095
2,0.2424,1341
1,0.2317,1796
2,0.223487,2729
